name,logo,owner,coach,captain,winning_seasons
Kolkata Knight Riders,/teams/Kolkata Knight Riders.png,Knight Riders Sports Private Ltd,Chandrakant Pandit,Nitish Rana,2012-2014
Rajasthan Royals,/teams/Rajasthan Royals.png,The Royals Sports Group,Kumar Sangakkara,Sanju Samson,2008
Gujarat Titans,/teams/Gujarat Titans.png,CVC Capital Partners,Ashish Nehra,Hardik Pandya,2022
Chennai Super Kings,/teams/Chennai Super Kings.png,Chennai Super Kings Cricket Ltd,Stephen Fleming,MS Dhoni,2010-2011-2018-2021
Lucknow Super Giants,/teams/Lucknow Super Giants.png,RPSG Group,Andy Flower,KL Rahul,#
Delhi Capitals,/teams/Delhi Capitals.png,GMR Sports Pvt. Ltd & JSW Sports Pvt Ltd,Ricky Ponting,David Warner,#
Mumbai Indians,/teams/Mumbai Indians.png,Indiawin Sports Pvt. Ltd,Mark Boucher,Rohit Sharma,2013-2015-2017-2019-2020
Sunrisers Hyderabad,/teams/Sunrisers Hyderabad.png,SUN TV Network,Brian Lara,Aiden Markram,2016
Royal Challengers Bangalore,/teams/Royal Challengers Bangalore.png,Royal Challengers Sports Private Ltd,Sanjay Bangar,Faf du Plessis,#
Punjab Kings,/teams/Punjab Kings.png,KPH Dream Cricket Private Limited,Trevor Bayliss,Shikhar Dhawan,#